url,naziv,cijena,lokacija,lat lng
https://www.olx.ba/artikal/31123956/dvosoban-stan-u-pofalicima/,Dvosoban stan u Pofalićima,124.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.858269,18.391108&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31512339/trosoban-stan-dolac-malta-envera-sehovica-92-m2/,Trosoban stan - Dolac Malta - Envera Šehovića - 92 m2,187.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.853225,18.381796&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31176789/dobrinja-5-stan/,DOBRINJA 5 STAN,115.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=1.179172,4.600899&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31505963/trosoban-stan-na-gornjim-ciglanama/,Trosoban stan na gornjim Ciglanama,205.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.86203,18.403678&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31500097/my-space-stan-centar-kralja-tvrtka-renoviran-56m2/,MY SPACE/ Stan/ Centar/ Kralja Tvrtka/ RENOVIRAN/ 56m2,155.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.856878,18.407733&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/25565835/my-space-stan-centar-brace-begic-58m2/,MY SPACE/ Stan/ Centar/ Brace Begic/ 58m2,114.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.864582,18.404193&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/28790220/my-space-stan-centar-vrtovi-sunca-novogradnja-57-5m2/,"MY SPACE/Stan/Centar/VRTOVI SUNCA/NOVOGRADNJA/57,5m2",117.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.877731,18.415544&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31511189/my-space-stan-otoka-brcanska-39-m2/,MY SPACE/ Stan/ Otoka/ Brcanska/ 39 m2,92.500 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.846928,18.36658&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31260637/professionals-stan-dobrinja-71-m2-trosoban/,PROFESSIONALS/stan/ Dobrinja/71 m2/trosoban,74.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.829036,18.35716&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/21650120/troiposoban-stan-96-m2-drvenija/,Troiposoban stan 96 m2 Drvenija,245.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.856011,18.421831&z=16&hl=en-US&gl=US&mapclient=apiv3"
